id,logical_sem,semester,sem_title,course_code,course_title,slot,course_cat,credits,grades,course_no
1,1,1,DIWALI  '18,ELL 100,INTRO. TO ELECTRICAL ENGG,A,EAS,4,A,1
2,1,1,DIWALI  '18,MCP 100,Introduction to Engineering Visualization,B,EAS,2,A,2
3,1,1,DIWALI  '18,PYL 100,ELECTROMAGNETIC WAVES & QUA.MEC,C,BS,3,B,3
4,1,1,DIWALI  '18,MTL 100,LANGUAGE & WRITING SKILL,D,BS,4,C,4
5,1,1,DIWALI  '18,PYP 100,PROFE. ETHICS & SOCIAL RESP.,E,BS,2,B,5
6,1,1,DIWALI  '18,MCP 101,NATIONAL SPORTS ORGANISATION,F,EAS,2,D,6
7,1,1,DIWALI  '18,NIN 100,PHYSICS LABORATORY,G,NG,1,S,7
8,1,1,DIWALI  '18,NEN 100,CALCULUS,H,NG,0.5,S,8
9,1,1,DIWALI  '18,NLN 100,INTRODUCTION TO ENGINEERING,I,NG,1,S,9
10,2,2,HOLI '19,APL 100, Engineering Mechanics,A ,EAS,4,C,1
11,2,2,HOLI '19,COL 100,Introduction to Computer Science,B,EAS,4,A,2
12,2,2,HOLI '19,CML 100,Introduction to Chemistry,C,BS,3,B,3
13,2,2,HOLI '19,MTL 101,Linear Algebra and Differential Equations,D,BS,4,B,4
14,2,2,HOLI '19,CMP 100,Chemistry Laboratory,E,BS,2,D,5
15,2,2,HOLI '19,NEN 101,Professional Ethics and Social Responsibility-2 ,F,NG,0.5,S,6
16,2,2,HOLI '19,NLN 101,Language and Writing Skills-2,R,NG,1,S,7
17,3,3,DIWALI '19,COL 202,Discrete Mathematical Structures,A,DC,4,A,1
18,3,3,DIWALI '19,COL 215,Digital Logic and System Design,B,DC,5,B,2
19,3,3,DIWALI '19,COL 106,Data Structures and Algorithms,C,DC,5,B,3
20,3,3,DIWALI '19,PYL 102,Principles of electronic materials ,D,PBS,3,C,4
21,3,3,DIWALI '19,MTL 106,Probability and Stochastic Processes,E,PBS,4,C,5
22,3,3,DIWALI '19,CON 101,Introduction to Computer Science and Engineering,F,NG,1,D,6
23,4,4,HOLI '20,COL 226, Programming Languages,A,DC,5,A,1
24,4,4,HOLI '20,COL216,Computer Architecture,B,DC,4,A,2
25,4,4,HOLI '20,ELL 205,Signals and Systems,C,PBS,4,B,3
26,4,4,HOLI '20,CVL100,ENVIRONMENTAL SCIENCE,D,EAS,2,A-,4
27,4,4,HOLI '20,HUL 212,MICROECONOMICS,E,HU,4,B-,5
28,4,4,HOLI '20,COP 290,DESIGN PRACTICES,F,DC,3,C-,6
29,5,5,DIWALI '20,COL 333,PRINCIPLES OF ARTIFICIAL INT.,A,DE,4,A,1
30,5,5,DIWALI '20,COL 334,COMPUTER NETWORKS,B,DE,4,B,2
31,5,5,DIWALI '20,SBL 100,INTRO. TO BIOLOGY FOR ENGINEER,C,BS,4,B,3
32,5,5,DIWALI '20,COL 351,ANALYSIS & DESIGN OF ALGORITHMS,D,DC,4,C,4
33,5,5,DIWALI '20,HUL 258,SOCIAL AND POLITICAL PHILOSOPH,E,HU,3,B,5
34,5,5,DIWALI '20,COD 310,Mini Project,F,DE,3,A,6
35,6,6,HOLI '21,COL 362,INTRO. TO DATABASE MGMT. SYST.,A,DC,4,A,1
36,6,6,HOLI '21,COL 331,OPERATING SYSTEMS,B,DC,4,A,2
37,6,6,HOLI '21,ELL 203,Electromechanics,C,DE,4,A,3
38,6,6,HOLI '21,COL 352,INTRO TO AUTOMATA & TH. OF CO.,D,DC,4,B,4
39,6,6,HOLI '21,HUL 361,APPLIED POSITIVE PSYCHOLOGY,E,HU,3,C,5
40,6,6,HOLI '21,COL 380,INTRO. TO PARALLEL & DIS. PRO.,F,DC,4,D,6
41,7,7,DIWALI '21,COD 492,B.Tech. Project Part-,X,DC,6,A-,1
42,7,7,DIWALI '21, COL 761,DATA MINING,AB,DE,4,B,2
43,7,7,DIWALI '21,MTL 730,CRYPTOGRAPHY,A,OC,3,A,3
44,8,8,HOLI '22,MTL 107,NUMERICAL METHODS AND COMPUTATION,E,OC,3,B-,1
45,8,8,HOLI '22,ESL 330,"Energy, Ecology & Environment",D,OC,3,A-,2
46,8,8,HOLI '22,SIL 865,NETWORKS and SYSTEM SECURITY,AA,DE,4,B,3
47,8,8,HOLI '22,HUL 271,INTRODUCTION TO SOCIOLOGY,B,HU,4,B,4
