id,logical_sem,semester,sem_title,course_code,course_title,course_cat,credits,grades,course_no
1,1,1,"DIWALI '14","ELL 100",T,EAS,4,F,1
2,1,1,"DIWALI '14",MCP100,T,EAS,2,C-,2
3,1,1,"DIWALI '14","PYL 100",T,BS,3,D,3
4,1,1,"DIWALI '14","MTL 100",T,BS,4,F,4
5,1,1,"DIWALI '14","PYP 100",T,BS,2,C-,5
6,1,1,"DIWALI '14","MCP 101",T,EAS,2,S,6
7,1,1,"DIWALI '14","NIN 100",T,NG,1,S,7
8,1,1,"DIWALI '14","NEN 100",T,NG,0.5,S,8
9,1,1,"DIWALI '14","NLN 100",T,NG,1,S,9
10,2,2,"HOLI '15","APL 100",R,EAS,4,F,1
11,2,2,"HOLI '15","COL 100",R,EAS,4,D,2
12,2,2,"HOLI '15","CML 100",R,BS,3,F,3
13,2,2,"HOLI '15","MTL 101",R,BS,4,F,4
14,2,2,"HOLI '15","CMP 100",R,BS,2,C,5
15,2,2,"HOLI '15","NEN 100",R,NG,0.5,S,6
16,2,2,"HOLI '15","NLN 100",R,NG,1,S,7
17,3,1,"DIWALI '15","ELL 100",D,EAS,4,D,1
18,3,1,"DIWALI '15","MCP 100",D,EAS,2,C,2
19,3,1,"DIWALI '15","PYL 100",D,BS,3,E,3
20,3,1,"DIWALI '15","MTL 100",D,BS,4,F,4
21,3,1,"DIWALI '15","PYP 100",D,BS,2,C-,5
22,3,1,"DIWALI '15","MCP 101",D,EAS,2,B-,6
23,3,1,"DIWALI '15","NIN 100",D,NG,1,S,7
24,3,1,"DIWALI '15","NEN 100",D,NG,0.5,S,8
25,3,1,"DIWALI '15","NLN 100",D,NG,1,S,9
26,4,2,"HOLI '16","APL 100",F,EAS,4,F,1
27,4,2,"HOLI '16","COL 100",F,EAS,4,D,2
28,4,2,"HOLI '16","CML 100",F,BS,3,F,3
29,4,2,"HOLI '16","MTL 101",F,BS,4,F,4
30,4,2,"HOLI '16","CMP 100",F,BS,2,C,5
31,4,2,"HOLI '16","NEN 100",F,NG,0.5,S,6
32,4,2,"HOLI '16","NLN 100",F,NG,1,S,7
