id,logical_sem,semester,sem_title,course_code,course_title,course_cat,credits,grades,course_no
1,1,1,"DIWALI  '14","ELL 100","Introduction to computer science",EAS,4,F,1
2,1,1,"DIWALI  '14","MCP 100","Engineering Mechanics",EAS,2,C,2
3,1,1,"DIWALI  '14","PYL 100","Digital logics",BS,3,F,3
4,1,1,"DIWALI  '14","MTL 100","Computer Architecture",BS,4,E,4
5,1,1,"DIWALI  '14","PYP 100",T,BS,2,C,5
6,1,1,"DIWALI  '14","MCP 101",T,EAS,2,C-,6
7,1,1,"DIWALI  '14","NIN 100",T,NG,1,S,7
8,1,1,"DIWALI  '14","NEN 100",T,NG,0.5,S,8
9,1,1,"DIWALI  '14","NLN 100",T,NG,1,S,9
10,2,2,"HOLI '15","APL 100",R,EAS,4,F,1
11,2,2,"HOLI '15","COL 100",R,EAS,4,D,2
12,2,2,"HOLI '15","CML 100",R,BS,3,E,3
13,2,2,"HOLI '15","MTL 101",R,BS,4,D,4
14,2,2,"HOLI '15","CMP 100",R,BS,2,B-,5
15,2,2,"HOLI '15","NEN 101",R,NG,0.5,S,6
16,2,2,"HOLI '15","NLN 101",R,NG,1,S,7
17,1,3,"DIWALI '15","ELL 100",T,EAS,4,D,1
18,1,3,"DIWALI '15","MCP 100",T,EAS,2,C,2
19,1,3,"DIWALI '15","PYL 100",T,BS,3,E,3
20,1,3,"DIWALI '15","MTL 100",T,BS,4,C-,4
21,1,3,"DIWALI '15",PYP100,T,BS,2,B-,5
22,1,3,"DIWALI '15","MCP 101",T,EAS,2,C,6
23,1,3,"DIWALI '15","NIN 100",T,NG,1,S,7
24,1,3,"DIWALI '15","NEN 100",T,NG,0.5,S,8
25,1,3,"DIWALI '15","NLN 100",T,NG,1,S,9
26,2,4,"HOLI '16","APL 100",E,EAS,4,F,1
27,2,4,"HOLI '16","COL 100",E,EAS,4,C-,2
28,2,4,"HOLI '16","CML 100",E,BS,3,D,3
29,2,4,"HOLI '16","MTL 101",E,BS,4,C-,4
30,2,4,"HOLI '16","CMP 100",E,BS,2,B,5
31,2,4,"HOLI '16","NEN 101",E,NG,0.5,S,6
32,2,4,"HOLI '16","NLN 101",E,NG,1,S,7
